id,username,full_name,is_verified,followed_by_viewer,requested_by_viewer,user_follows,follows_viewer,is_private,has_requested_viewer,blocked_by_viewer,has_blocked_viewer,follows_count,followed_by_count,media_count
5451881723,thefreshlettuceltd,The Fresh Lettuce Nutrition,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5567,2240,234
216102020,gcheret,Gabby Cheret,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,518,685,84
5754698671,neohusa,NEOH,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1624,89838,119
7803582273,jmart.97,Jacob Martin,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,440,141,9
3191752716,lyssascottfitness,Lyssa Scott,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5065,3335,331
1706683674,skibum344,Julie,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,221,206,15
309802634,249sawyer,Tyler Keith Sawyer,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,181,114,12
1486299240,lizzyeven,Lizzy Sawyer,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,680,1076,727
9707521762,ketodreday,Dre,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1783,1426,28
248427121,nicolethesherm,Nicole sherman,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1568,3798,382
944418538,thebarbender,Jeff Rykowski,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7292,12338,174
247625121,veronicapozzoni,Veronica Pozzoni🏃🏻‍♀️⭐️,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4891,16201,1084
6974259108,sweatcyclehouse,SWEAT Cycle House,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,952,3560,193
485385201,gymreapers,GYMREAPERS®,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26,36363,786
2281031955,fitlifestylebox,Fit Lifestyle Box,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3953,24029,485
5329964204,owenvfilio,Owen Vincent Filio,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,171,115,43
30197367,forgedbyfryer,Sarah Fryer,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1694,7574,413
1223862245,brianoldroyd,Brian Oldroyd,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,495,183,31
15916277,bodyrebooted,Christina Russell ✨,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5076,37026,913
5970293975,asunnyspace,A Sunny Space,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,377,4373,196
422185353,gvcrossfit,GVCF & Personal Training,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,540,884,421
1512850115,krysten.janzen,KRYSTEN | fitness coach,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1065,31124,1574
2242998235,camillenholland,Camille Napier Holland,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,508,29558,1042
493337933,auzsupps,AUZSUPPS PTY LTD,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3378,5609,23
1560199017,teamwodnation,WOD Nation,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4891,68717,2228
1066777820,barbells_and_ponytails,Barbells & Ponytails® 🏋🏼,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5692,112746,3122
3629428944,striveformorewomen,STRIVE FOR MORE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7385,37915,803
10080744565,zp_zacprice,Zac Price,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,130,105,1
9793709940,laura.buhler.94,Laura Buhler,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,240,99,1
